row_id,vehicle_id,latitude,longitude,distance_from_prev_point,worker_id
203,1249503,32.08697,34.79884,51.39751119406348,4
211,1249503,32.08551,34.79826,171.3107000127647,4
214,1249503,32.08503,34.79808,56.00832131027156,4
216,1249503,32.08497,34.79803,8.167919884537072,4
217,1249503,32.08477,34.79798,22.73461971202837,4
220,1249503,32.08389,34.79781,99.16325530813754,4
229,1249503,32.08229,34.79775,178.01886771848683,4
230,1249503,32.08198,34.79771,34.67918070151877,4
234,1249503,32.08153,34.7976,51.104675453973364,4
236,1249503,32.08133,34.79762,22.320830956137687,4
237,1249503,32.08128,34.7976,5.870962963594692,4
238,1249503,32.08123,34.79757,6.237590198262842,4
242,1249503,32.08022,34.79702,123.69769868195975,4
243,1249503,32.07945,34.79646,100.58164819570537,4
248,1249503,32.07801,34.795,211.1175974642804,4
250,1249503,32.07739,34.79425,98.73406767783666,4
253,1249503,32.07422,34.79297,372.58655685102906,4
6,508395,32.8164,35.13748,,7
8,508395,32.81615,35.13755,28.560819677259175,7
9,508395,32.81615,35.13755,0,7
10,508395,32.81615,35.13755,0,7
31,508395,32.81739,35.05473,7741.5876431623465,7
35,508395,32.81716,35.05505,39.35281754212773,7
38,508395,32.81737,35.05471,39.43491035388499,7
39,508395,32.81736,35.05529,54.218239716473825,7
42,508395,32.81879,35.05491,162.9414899367024,7
43,508395,32.81953,35.05535,91.99443921275827,7
48,508395,32.82297,35.05816,464.0092693142791,7
49,508395,32.82462,35.05893,197.09477445563255,7
50,508395,32.8264,35.0609,270.32309516423,7
52,508395,32.82672,35.06171,83.64229571875349,7
53,508395,32.82795,35.06306,186.07774906199714,7
56,508395,32.83006,35.06367,241.4685767377978,7
61,508395,32.83211,35.06441,238.22812664439957,7
64,508395,32.83371,35.06506,188.01021859403596,7
67,508395,32.83419,35.06526,56.55569712612045,7
68,508395,32.83494,35.06563,90.28614460379329,7
72,508395,32.83627,35.06721,208.9777184354031,7
73,508395,32.83563,35.06851,140.7874721747599,7
76,508395,32.8342,35.07141,314.19793470492374,7
77,508395,32.83354,35.07248,124.0312270582619,7
80,508395,32.83265,35.07367,148.86481226922888,7
101,508395,32.83255,35.07378,15.143372874938164,7
102,508395,32.83255,35.07376,1.8688815829303644,7
105,508395,32.83254,35.07375,1.4525322378365058,7
106,508395,32.83255,35.07373,2.1747157246305333,7
107,508395,32.83255,35.07373,0,7
108,508395,32.83252,35.07374,3.4645650803557047,7
113,508395,32.83244,35.07369,10.048702957721908,7
114,508395,32.83242,35.07368,2.412439139073293,7
115,508395,32.83235,35.07368,7.784396928100382,7
117,508395,32.83224,35.07373,13.094530379995739,7
118,508395,32.83224,35.07373,0,7
119,508395,32.83209,35.07377,17.094496003489596,7
120,508395,32.83175,35.07387,38.947531153192706,7
122,508395,32.83157,35.07393,20.787406660456988,7
123,508395,32.83157,35.07393,0,7
124,508395,32.83137,35.07399,22.936942817893218,7
125,508395,32.83118,35.07404,21.63950262938612,7
126,508395,32.8308,35.07415,43.490349936487945,7
127,508395,32.83061,35.0742,21.639509104562997,7
129,508395,32.83024,35.07431,42.41063087815072,7
132,508395,32.82903,35.0746,137.26066213984228,7
139,508395,32.82727,35.07516,202.5974091806492,7
144,508395,32.82465,35.07709,342.6672380248034,7
146,508395,32.82417,35.07889,176.48128917504562,7
160,508395,32.82411,35.07951,58.32375506831271,7
165,508395,32.82361,35.0817,212.08175907796252,7
167,508395,32.82211,35.08153,167.56337836060248,7
171,508395,32.81995,35.08102,244.88745432974846,7
173,508395,32.81887,35.08059,126.64725263527157,7
174,508395,32.8171,35.07945,223.82007905799983,7
187,508395,32.81679,35.07922,40.62654185391798,7
195,508395,32.81552,35.08138,246.37561032464728,7
198,508395,32.81519,35.08643,473.40934187418344,7
199,508395,32.81522,35.08741,91.65380095668071,7
205,508395,32.81454,35.09181,418.13213878734905,7
210,508395,32.81321,35.09649,461.7423822948122,7
213,508395,32.81267,35.09892,234.92465122412347,7
215,508395,32.81264,35.09954,58.0442686306102,7
218,508395,32.81289,35.1002,67.66219680952437,7
219,508395,32.81406,35.10153,179.9468854346269,7
222,508395,32.81456,35.10283,133.62031298588036,7
226,508395,32.81612,35.10515,277.68869174165906,7
228,508395,32.81684,35.1064,141.6303474620525,7
231,508395,32.81656,35.10798,150.91538400778114,7
233,508395,32.81644,35.10929,123.15904839877825,7
235,508395,32.81682,35.10997,76.32014268746975,7
241,508395,32.81752,35.1112,138.83259154827732,7
244,508395,32.81809,35.11221,113.70200733170749,7
247,508395,32.81903,35.11388,187.8476417617098,7
251,508395,32.81907,35.11599,197.24709219866241,7
252,508395,32.81581,35.12027,539.8529201494897,7
256,508395,32.81507,35.12463,415.7226067297867,7
257,508395,32.81395,35.1279,330.0304748375858,7
258,508395,32.81261,35.12947,209.13707401243863,7
259,508395,32.80997,35.1318,365.5394752077298,7
260,508395,32.80891,35.13297,160.79347965789293,7
261,508395,32.80906,35.13406,103.23751471236066,7
262,508395,32.80925,35.13502,92.18396164562115,7
263,508395,32.80952,35.13752,235.59192665455083,7
264,508395,32.80988,35.14,235.2321720765798,7
265,508395,32.8117,35.14305,349.61282306566784,7
266,508395,32.81226,35.14222,99.48004750224732,7
